ERC Method,ERC Lookback,MR_FX Regime,Daily Cutoff,Exposure Factor,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Rank Score
rolling_erc_756,756.0,off,-0.045,0.75,0.8682,0.9246717346233587,0.971350274040857,0.7798,126.0,57.0,15.0,0.1654,0.0548,0.0,0.3054,1.0489603469246718
rolling_erc_504,504.0,on,-0.03,1.25,0.882,0.9108843537414966,0.9522031366691561,0.765,70.0,30.0,15.0,0.0036,0.2314,0.0,2.8964,1.0345928707482994
rolling_erc_504,504.0,on,-0.035,1.25,0.8812,0.9083068542896051,0.9500249875062469,0.7604,69.0,29.0,15.0,0.0372,0.2024,0.0,1.586,1.033321370857921
rolling_erc_252,252.0,on,-0.035,1.25,0.8804,0.9111767378464335,0.9471453502867115,0.7598,68.0,29.0,15.0,0.0414,0.1988,0.0,1.63,1.0314753475692866
rolling_erc_504,504.0,off,-0.03,1.25,0.879,0.9094425483503982,0.9499624718538904,0.7594,69.0,30.0,15.0,0.0038,0.2368,0.0,2.9396,1.0245325096700795
rolling_erc_504,504.0,on,-0.04,1.0,0.868,0.9096774193548387,0.9536474164133738,0.753,90.0,40.0,15.0,0.1062,0.1408,0.0,0.6102,1.0144934838709674
rolling_erc_252,252.0,off,-0.035,1.25,0.8722,0.908965833524421,0.9470232088799193,0.7508,68.0,30.0,15.0,0.0434,0.2058,0.0,1.657,1.014403166704884
rolling_erc_504,504.0,off,-0.035,1.25,0.8684,0.9046522339935513,0.9447556008146639,0.7422,67.0,30.0,15.0,0.0426,0.2152,0.0,1.6744,0.9994864467987105
rolling_erc_504,504.0,off,-0.04,1.0,0.8632,0.9077849860982391,0.9499744767738643,0.7444,90.0,40.0,15.0,0.1072,0.1484,0.0,0.6548,0.9991289972196475
fixed_current_weights,,on,-0.045,1.0,0.8518,0.9140643343507866,0.9586437194965323,0.7464,88.0,40.0,15.0,0.1258,0.1278,0.0,0.5076,0.9977168668701571
rolling_erc_756,756.0,on,-0.035,1.25,0.864,0.9060185185185186,0.9422585590189065,0.7376,67.0,29.0,15.0,0.0542,0.2082,0.0,1.7344,0.9886197037037034
rolling_erc_252,252.0,on,-0.04,1.0,0.8658,0.9015939015939016,0.9477325134511914,0.7398,91.0,40.0,15.0,0.1262,0.134,0.0,0.6674,0.9878447803187803
rolling_erc_252,252.0,off,-0.04,1.0,0.8618,0.9022975168252495,0.9459876543209876,0.7356,91.0,40.0,15.0,0.1244,0.14,0.0,0.7086,0.9804335033650496
fixed_current_weights,,on,-0.035,1.25,0.862,0.9030162412993039,0.9362795477903392,0.7288,66.0,29.0,15.0,0.072,0.1992,0.0,1.6362,0.9716412482598609
fixed_current_weights,,on,-0.03,1.25,0.864,0.9002314814814815,0.9380303419902288,0.7296,67.0,29.0,15.0,0.0674,0.203,0.0,2.534,0.9648262962962962
rolling_erc_756,756.0,on,-0.03,1.25,0.861,0.9019744483159118,0.9381921194952356,0.7286,68.0,29.0,15.0,0.0506,0.2208,0.0,2.7106,0.9643688896631822
fixed_current_weights,,off,-0.035,1.25,0.8598,0.9016050244242847,0.9347265221878225,0.7246,66.0,29.0,15.0,0.0714,0.204,0.0,1.6622,0.9642590048848568
rolling_erc_252,252.0,off,-0.04,1.25,0.847,0.9057851239669421,0.944473409801877,0.7246,66.0,29.0,15.0,0.0952,0.1802,0.0,0.9128,0.9639890247933882
rolling_erc_756,756.0,off,-0.03,1.25,0.8592,0.9008379888268156,0.9372093023255814,0.7254,67.0,29.0,15.0,0.0492,0.2254,0.0,2.7618,0.9585695977653631
fixed_current_weights,,off,-0.03,1.25,0.8584,0.9007455731593662,0.9399896533885153,0.7268,66.0,29.0,15.0,0.0664,0.2068,0.0,2.6628,0.9579611146318733
rolling_erc_252,252.0,on,-0.04,1.25,0.8446,0.9038598152971821,0.9444589992140424,0.721,66.0,29.0,15.0,0.1104,0.1686,0.0,0.8204,0.9553679630594364
rolling_erc_756,756.0,off,-0.035,1.25,0.8474,0.9011092754307293,0.9363541121005762,0.715,66.0,29.0,15.0,0.0598,0.2252,0.0,1.8052,0.9469298550861458
rolling_erc_504,504.0,on,-0.04,1.25,0.8374,0.9047050394076904,0.9432418162618796,0.7146,66.0,29.0,15.0,0.119,0.1664,0.0,0.7676,0.9425850078815383
fixed_current_weights,,off,-0.045,1.0,0.8318,0.9043039192113489,0.9569263493751662,0.7198,86.0,38.0,15.0,0.1692,0.111,0.0,0.4864,0.9413967838422695
rolling_erc_504,504.0,off,-0.04,1.25,0.8342,0.9036202349556461,0.9421597240647387,0.7102,65.0,29.0,15.0,0.1064,0.1834,0.0,0.8842,0.9361620469911293
rolling_erc_756,756.0,on,-0.04,1.25,0.8312,0.9001443695861405,0.937984496124031,0.7018,65.0,29.0,15.0,0.1224,0.1758,0.0,0.831,0.9192988739172282
rolling_erc_252,252.0,on,-0.045,1.0,0.8376,0.8946991404011462,0.9418201227648786,0.7058,89.0,40.0,15.0,0.184,0.1102,0.0,0.3678,0.9184418280802291
rolling_erc_756,756.0,off,-0.04,1.25,0.8228,0.8964511424404472,0.9360086767895879,0.6904,64.0,29.0,15.0,0.1126,0.197,0.0,0.9416,0.8997942284880894
fixed_current_weights,,on,-0.04,1.25,0.8308,0.894077997111218,0.9305331179321487,0.6912,65.0,28.0,15.0,0.1318,0.177,0.0,0.8866,0.8996295994222436
rolling_erc_504,504.0,on,-0.045,1.0,0.8218,0.8934047213433925,0.9452465268319259,0.694,88.0,39.0,15.0,0.1998,0.1062,0.0,0.4024,0.8922369442686784
rolling_erc_756,756.0,on,-0.045,1.0,0.8206,0.8895929807457957,0.9424657534246575,0.688,87.0,39.0,15.0,0.1996,0.1124,0.0,0.404,0.8821385961491589
fixed_current_weights,,off,-0.04,1.25,0.8242,0.8898325649114293,0.9282792473411509,0.6808,64.0,28.0,15.0,0.1298,0.1894,0.0,0.9944,0.880522512982286
rolling_erc_252,252.0,off,-0.045,1.0,0.8146,0.8865700957525166,0.9382442536693437,0.6776,88.0,39.0,15.0,0.226,0.0964,0.0,0.3526,0.8593680191505033
