Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
anchor_grid_tf1p75_mreq2_mrfx6p25,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 6.25, ""TF_EQ"": 1.75}",1.75,0.0,6.25,8.0,0.75,-0.04,685017.7385143541,0.20559952887319932,1.1230079333765166,1.0840567531215617,-18.965753248727214,-0.10216876721666769,13,150.88489452757221,816.4457785373921,0.8954,0.9102077283895466,0.9555828220858895,0.7788,124.0,51.0,15.0,0.0584,0.1624,0.0004,0.3866,267.97457627118644,234.0,159.0,341.75,465.0,0.604597559322034,MR_EQ,drop_no_renorm,0.7232,0.055600000000000094,184.0141039823009,83.96047228888554,1.2929387521515854,-0.16993081877506877
anchor_grid_tf1p75_mreq2_mrfx6p25,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 7.8125, ""TF_EQ"": 2.1875}",2.1875,0.0,7.8125,10.0,0.75,-0.04,1243523.8315627025,0.2580603380365811,1.1284052862303773,1.1114227040455926,-23.218919057280207,-0.12452194017125112,30,187.5681717817249,1025.9966420364017,0.8782,0.9038943293099522,0.9546485260770975,0.7578,92.0,37.0,15.0,0.0,0.2422,0.0,0.9718,205.9057798891528,177.0,119.0,263.0,366.0,0.748917550277118,MR_EQ,drop_renorm_to_total,0.7232,0.034600000000000075,184.0141039823009,21.8916759068519,1.2929387521515854,-0.1645334659212081
anchor_grid_tf1p75_mreq2_mrfx6p25,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 2.0, ""TF_EQ"": 1.75}",1.75,2.0,0.0,3.75,0.75,-0.04,825486.8830882487,0.22177137784087075,0.9977813922391151,0.9241827462575035,-23.996485407127366,-0.09184353464224454,26,121.46537253536458,403.23268182450136,0.763,0.8348623853211009,0.9073783359497645,0.578,103.0,57.0,26.0,0.1744,0.2476,0.0,0.6578,238.45121107266436,213.0,156.0,295.0,390.0999999999999,-0.043106027681661024,MR_FX,drop_no_renorm,0.7232,-0.1452,184.0141039823009,54.43710709036347,1.2929387521515854,-0.2951573599124703
anchor_grid_tf1p75_mreq2_mrfx6p25,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 5.333333333333333, ""TF_EQ"": 4.666666666666667}",4.666666666666667,5.333333333333333,0.0,10.0,0.75,-0.04,36106779.03971545,0.6003206916895443,1.0369390651470136,1.038703538501175,-57.79519077751416,-0.266046661790322,372,312.9430481842241,1300.9419243589687,0.4288,0.45382462686567165,0.60431654676259,0.1176,39.0,31.0,20.0,0.6328,0.2496,0.0,2.3746,101.71938775510205,97.0,78.0,118.0,142.30000000000007,-1.558044469387755,MR_FX,drop_renorm_to_total,0.7232,-0.6055999999999999,184.0141039823009,-82.29471622719885,1.2929387521515854,-0.25599968700457176
anchor_grid_tf1p75_mreq2_mrfx6p25,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 2.0, ""MR_FX"": 6.25}",0.0,2.0,6.25,8.25,0.75,-0.04,506867.2208905328,0.17993682424411195,1.170771417529134,0.9008165170263629,-19.974858458200984,-0.08181080570493274,16,84.19948922786544,833.9930464133836,0.858,0.9195804195804196,0.9776932826362484,0.7714,172.0,84.0,15.0,0.1014,0.1256,0.0016,0.436,340.9053668654395,304.0,224.0,422.0,558.4000000000001,0.3577765828364013,TF_EQ,drop_no_renorm,0.7232,0.04820000000000002,184.0141039823009,156.89126288313858,1.2929387521515854,-0.12216733462245144
anchor_grid_tf1p75_mreq2_mrfx6p25,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 2.4242424242424243, ""MR_FX"": 7.575757575757576}",0.0,2.4242424242424243,7.575757575757576,10.0,0.75,-0.04,813187.6744905323,0.2204619120749789,1.1724343667157178,0.9168905138028586,-24.044518811804462,-0.09884478348675406,33,102.15592170081223,1013.5252140993435,0.8446,0.9142789486147289,0.9704739704739704,0.7494,134.0,65.0,15.0,0.085,0.1652,0.0004,0.8872,273.31732052308513,243.0,177.0,338.0,453.0,0.47143469869228705,TF_EQ,drop_renorm_to_total,0.7232,0.0262,184.0141039823009,89.30321654078423,1.2929387521515854,-0.12050438543586761
anchor_grid_tf2_mreq0p875_mrfx7p125,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 7.125, ""TF_EQ"": 2.0}",2.0,0.0,7.125,9.125,0.75,-0.04,962925.8129182456,0.23528664526056464,1.1254842543290473,1.0993591523577093,-21.40216368381196,-0.11504673179749106,24,171.73081627781465,934.0865972354317,0.8844,0.9158751696065129,0.9612345679012345,0.7786,102.0,43.0,15.0,0.0106,0.2108,0.0,0.567,228.8872334960185,197.0,131.0,294.0,409.0,0.7473119162599537,MR_EQ,drop_no_renorm,0.769,0.009599999999999942,199.6262678803641,29.260965615654385,1.2558939996490184,-0.13040974531997107
anchor_grid_tf2_mreq0p875_mrfx7p125,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 7.808219178082192, ""TF_EQ"": 2.191780821917808}",2.191780821917808,0.0,7.808219178082192,10.0,0.75,-0.04,1246693.5306787041,0.25828914350764665,1.127788078512236,1.1113018783919344,-23.24203247828518,-0.12469997526487,31,187.7477078021647,1026.0461351736217,0.8778,0.9036226930963773,0.9546142208774584,0.7572,92.0,37.0,15.0,0.0,0.2428,0.0,0.9696,205.44400422609615,177.0,119.0,262.0,365.0,0.7482939894347596,MR_EQ,drop_renorm_to_total,0.769,-0.011800000000000033,199.6262678803641,5.817736345732044,1.2558939996490184,-0.12810592113678232
anchor_grid_tf2_mreq0p875_mrfx7p125,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 0.875, ""TF_EQ"": 2.0}",2.0,0.875,0.0,2.875,0.75,-0.04,504834.5316027748,0.1795981673417033,0.9034985933825581,0.642119386668809,-27.96959118045381,-0.10309523646713224,21,119.0188329776459,302.77152169437164,0.8194,0.8523309738833292,0.920389461626575,0.6428,121.0,64.0,28.0,0.1192,0.2378,0.0002,0.5328,282.3618543870566,251.0,176.0,355.0,473.7000000000003,0.09816736403235854,MR_FX,drop_no_renorm,0.769,-0.12619999999999998,199.6262678803641,82.7355865066925,1.2558939996490184,-0.35239540626646026
anchor_grid_tf2_mreq0p875_mrfx7p125,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 3.0434782608695654, ""TF_EQ"": 6.956521739130435}",6.956521739130435,3.0434782608695654,0.0,10.0,0.75,-0.04,28320085.548692502,0.5727908887479178,0.9464474332656847,0.7588782685416143,-75.47862582080356,-0.26516974652764225,473,385.2022737289781,1327.3417032286995,0.2826,0.29016277423920733,0.47073170731707314,0.0386,34.0,29.0,20.0,0.7914,0.17,0.0,2.0162,91.98963730569949,91.0,75.0,106.0,123.80000000000001,-1.9257360932642489,MR_FX,drop_renorm_to_total,0.769,-0.7304,199.6262678803641,-107.63663057466462,1.2558939996490184,-0.3094465663833337
anchor_grid_tf2_mreq0p875_mrfx7p125,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 0.875, ""MR_FX"": 7.125}",0.0,0.875,7.125,8.0,0.75,-0.04,292274.2910333289,0.13443144749364166,1.3290275566637215,0.9873444507403673,-13.615455821201738,-0.07489160184351928,4,76.76469434313239,809.6353862469351,0.9728,0.9755345394736842,0.9955742887249737,0.9448,247.0,112.0,15.0,0.0136,0.0232,0.0184,0.2438,461.22036409822186,422.0,307.0,581.25,749.0,0.6837110897544453,TF_EQ,drop_no_renorm,0.769,0.17579999999999996,199.6262678803641,261.5940962178578,1.2558939996490184,0.07313355701470314
anchor_grid_tf2_mreq0p875_mrfx7p125,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 1.09375, ""MR_FX"": 8.90625}",0.0,1.09375,8.90625,10.0,0.75,-0.04,448200.01548903616,0.16961384520893708,1.330001616827365,1.0079596501604737,-16.82744395392548,-0.09358472879629705,5,95.99861799688966,1015.3761786187457,0.9144,0.9496937882764654,0.9841087056655919,0.8546,191.0,87.0,15.0,0.0912,0.05,0.0042,0.4702,376.02667914813946,336.0,242.0,468.0,630.0,0.5320313021296513,TF_EQ,drop_renorm_to_total,0.769,0.08560000000000001,199.6262678803641,176.40041126777535,1.2558939996490184,0.07410761717834657
anchor_grid_tf2_mreq1p125_mrfx6p875,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 6.875, ""TF_EQ"": 2.0}",2.0,0.0,6.875,8.875,0.75,-0.04,924326.0795557464,0.23168174948826192,1.1159801879448434,1.0942473389951444,-21.172703942877945,-0.11460128724232192,22,169.462440341345,908.4450630488135,0.8842,0.9158561411445374,0.9594961718942949,0.777,103.0,43.0,15.0,0.0094,0.2136,0.0,0.5732,230.997425997426,199.0,132.0,297.0,412.0,0.738374435006435,MR_EQ,drop_no_renorm,0.763,0.014000000000000012,193.2770642201835,37.720361777242516,1.2673631951663094,-0.15138300722146592
anchor_grid_tf2_mreq1p125_mrfx6p875,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 7.746478873239436, ""TF_EQ"": 2.2535211267605635}",2.2535211267605635,0.0,7.746478873239436,10.0,0.75,-0.04,1293066.6554662427,0.2615762475257206,1.1190109349280526,1.1095554371595722,-23.574869606817284,-0.12725475993688817,31,190.33350643400627,1026.7568819551584,0.8718,0.901124111034641,0.9483197556008147,0.745,89.0,36.0,15.0,0.0034,0.2516,0.0,0.9952,199.9181208053691,172.0,116.0,256.0,354.0,0.7218526979865773,MR_EQ,drop_renorm_to_total,0.763,-0.018000000000000016,193.2770642201835,6.641056585185623,1.2673631951663094,-0.14835226023825676
anchor_grid_tf2_mreq1p125_mrfx6p875,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 1.125, ""TF_EQ"": 2.0}",2.0,1.125,0.0,3.125,0.75,-0.04,589586.6033203672,0.19274812436211586,0.9331913099265096,0.6931065413004779,-27.809306777059405,-0.10309523646713226,21,122.41696404571849,331.137593792537,0.8202,0.852962692026335,0.9213836477987422,0.6446,113.0,62.0,28.0,0.1238,0.2314,0.0002,0.5672,270.09959664908473,238.0,169.0,336.0,456.8000000000002,0.12927900837728812,MR_FX,drop_no_renorm,0.763,-0.11840000000000006,193.2770642201835,76.82253242890124,1.2673631951663094,-0.3341718852397998
