Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
mean_reversion_core,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 3.8461538461538463, ""TF_EQ"": 2.307692307692308}",2.307692307692308,0.0,3.8461538461538463,6.153846153846154,0.75,-0.04,706978.5736049204,0.20832024908321545,0.953466898589856,0.7384418344555234,-28.21078646455839,-0.12257312984069951,24,157.75243733613533,630.8090442039869,0.8582,0.8916336518294103,0.9453737584945112,0.7234,99.0,40.0,15.0,0.0116,0.265,0.0,0.8336,222.24412496544096,192.0,126.0,284.0,396.4000000000001,0.5946536875863977,MR_EQ,drop_no_renorm,0.543,0.1804,121.65745856353591,100.58666640190505,1.141764265643206,-0.1882973670533501
mean_reversion_core,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 6.25, ""TF_EQ"": 3.75}",3.75,0.0,6.25,10.0,0.75,-0.04,2813493.997641979,0.33361950639954463,0.966839665817153,0.793744778531581,-42.03108044587543,-0.18255491249844868,125,251.09369474958987,1042.2103610700126,0.6518,0.7704817428659098,0.8044603743528475,0.404,46.0,15.0,15.0,0.3442,0.2518,0.0,1.3836,108.32673267326733,94.0,65.0,136.0,194.10000000000014,-0.4168528316831683,MR_EQ,drop_renorm_to_total,0.543,-0.139,121.65745856353591,-13.330725890268582,1.141764265643206,-0.17492459982605313
mean_reversion_core,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 3.8461538461538463, ""TF_EQ"": 2.307692307692308}",2.307692307692308,3.8461538461538463,0.0,6.153846153846154,0.75,-0.04,3683011.062587835,0.35952384658567094,1.012546763395417,0.9286588827228242,-38.71430654187557,-0.17185929290524044,121,175.9593955237675,707.1669919001303,0.6934,0.7591577732910297,0.8514437689969605,0.4482,63.0,43.0,23.0,0.2286,0.3232,0.0,1.9394,157.49933065595715,142.0,112.0,190.0,242.0,-0.29714232663989293,MR_FX,drop_no_renorm,0.543,-0.09480000000000005,121.65745856353591,35.84187209242124,1.141764265643206,-0.12921750224778905
mean_reversion_core,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 6.25, ""TF_EQ"": 3.75}",3.75,6.25,0.0,10.0,0.75,-0.04,34456929.02406193,0.5949828170223659,1.034671853612615,0.9842203914680463,-60.45219365297845,-0.33489629381750813,327,282.5953773834083,1293.9128055301157,0.4756,0.5109335576114382,0.642798353909465,0.1562,41.0,33.0,21.0,0.6134,0.2304,0.0,2.065,106.04097311139564,101.0,82.0,123.0,150.0,-1.430552432778489,MR_FX,drop_renorm_to_total,0.543,-0.38680000000000003,121.65745856353591,-15.616485452140267,1.141764265643206,-0.10709241203059117
mean_reversion_core,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 3.8461538461538463, ""MR_FX"": 3.8461538461538463}",0.0,3.8461538461538463,3.8461538461538463,7.6923076923076925,0.75,-0.04,1000020.1842210877,0.23862667254203918,0.9183101430390582,0.6804377385372319,-35.06958227434972,-0.1705482906061786,78,88.17164304666481,798.4907353955824,0.7002,0.8017709225935447,0.9041681510509441,0.5076,108.0,54.0,15.0,0.258,0.2344,0.0,1.5934,219.78014184397162,201.0,140.25,276.0,362.3000000000002,-0.300584354609929,TF_EQ,drop_no_renorm,0.543,-0.03539999999999999,121.65745856353591,98.12268328043571,1.141764265643206,-0.22345412260414788
mean_reversion_core,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 5.0, ""MR_FX"": 5.0}",0.0,5.0,5.0,10.0,0.75,-0.04,2296613.5171535956,0.3144204820601999,0.9251260031234391,0.6951218705648001,-45.23242547450379,-0.24012728419029414,135,115.24209526147673,1088.753126460397,0.6124,0.7279555845852385,0.8667563930013459,0.3864,82.0,42.0,15.0,0.4488,0.1648,0.0,1.5632,174.435817805383,160.5,115.0,221.0,287.0,-0.7413215445134574,TF_EQ,drop_renorm_to_total,0.543,-0.15660000000000002,121.65745856353591,52.7783592418471,1.141764265643206,-0.21663826251976703
old_no_tf_fx_ratio,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.0,8.0,9.125,0.75,-0.04,542866.6235962247,0.18573450642955858,1.2840996232625037,1.0908152692309872,-17.027127476909943,-0.08407567873928698,6,134.00111318111948,924.3465247779401,0.9626,0.9663411593600665,0.9890346162115674,0.92,165.0,69.0,15.0,0.0,0.0766,0.0034,0.3364,334.5841304347826,293.0,203.0,428.0,579.0,0.9235756739130435,MR_EQ,drop_no_renorm,0.9278,-0.007799999999999918,281.7990946324639,52.7850358023187,1.433600596260109,-0.14950097299760534
old_no_tf_fx_ratio,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 8.767123287671232, ""TF_EQ"": 1.2328767123287672}",1.2328767123287672,0.0,8.767123287671232,10.0,0.75,-0.04,674186.5527755852,0.20422769743576663,1.2853377312689005,1.1015151028991286,-18.540617091699453,-0.0921251079986796,9,146.69467015037196,1014.2747580930951,0.9216,0.9481336805555556,0.9821469443808651,0.8582,141.0,62.0,15.0,0.0434,0.0976,0.0008,0.3654,297.7259380097879,260.0,179.0,379.5,520.0,0.7840311549755301,MR_EQ,drop_renorm_to_total,0.9278,-0.0696,281.7990946324639,15.926843377324019,1.433600596260109,-0.14826286499120855
old_no_tf_fx_ratio,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 0.875, ""TF_EQ"": 1.125}",1.125,0.875,0.0,2.0,0.75,-0.04,246780.56989373578,0.1208027739952291,0.9577113358344886,0.7581889859787025,-15.93306896159824,-0.061845901992960514,1,73.18529117905142,205.20051438073267,0.948,0.9428270042194092,0.9809800850302081,0.8768,236.0,105.0,29.0,0.0,0.0938,0.0294,0.1146,474.132299270073,432.0,304.75,605.0,783.7000000000003,0.4733232518248176,MR_FX,drop_no_renorm,0.9278,-0.050999999999999934,281.7990946324639,192.33320463760913,1.433600596260109,-0.4758892604256204
old_no_tf_fx_ratio,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 4.375, ""TF_EQ"": 5.625}",5.625,4.375,0.0,10.0,0.75,-0.04,34685079.22214794,0.5957349302877972,1.0114704264756134,0.9066337741687156,-65.70844229071669,-0.24410760466404277,404,343.7676374990244,1310.4353491695736,0.3794,0.3916710595677385,0.5518169582772544,0.082,37.0,31.0,21.0,0.7156,0.2024,0.0,2.1526,99.6780487804878,97.0,78.25,116.0,133.0,-1.7403211219512194,MR_FX,drop_renorm_to_total,0.9278,-0.8458,281.7990946324639,-182.12104585197608,1.433600596260109,-0.4221301697844957
old_no_tf_fx_ratio,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0}",0.0,0.875,8.0,8.875,0.75,-0.04,337266.5498528786,0.14609418638283223,1.3298682354439397,1.0048770332452859,-14.538513823031252,-0.08407567873928691,5,84.74874997651004,899.6418006778179,0.9832,0.9755899104963385,0.9956213511259383,0.955,232.0,103.0,15.0,0.0,0.0302,0.0148,0.3428,440.51204188481677,401.0,287.0,556.0,728.6000000000004,0.775091895287958,TF_EQ,drop_no_renorm,0.9278,0.027200000000000002,281.7990946324639,158.71294725235288,1.433600596260109,-0.10373236081616932
old_no_tf_fx_ratio,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 0.9859154929577464, ""MR_FX"": 9.014084507042254}",0.0,0.9859154929577464,9.014084507042254,10.0,0.75,-0.04,426313.4300702899,0.1654383040123515,1.330371504021402,1.0163797154450065,-16.27721426336385,-0.09471600353846453,5,95.51455626220198,1015.5792917548436,0.905,0.9480662983425414,0.9864801864801864,0.8464,195.0,86.0,15.0,0.1032,0.0462,0.0042,0.478,381.8960302457467,341.0,244.0,479.0,645.9000000000001,0.48067992438563323,TF_EQ,drop_renorm_to_total,0.9278,-0.08139999999999992,281.7990946324639,100.09693561328282,1.433600596260109,-0.10322909223870713
