Budget Case,Date,Cutoff Timestamp,Cutoff Level,Exposure Factor,Observed DD At Cutoff,Raw Historical DD At Cutoff,Day Start Equity Raw,Equity At Cutoff Raw,Gross Exposure At Cutoff % Raw,Gross Exposure At Cutoff % Scaled,Dominant Losing Strategy,MR_EQ PnL To Cutoff,MR_EQ Gross At Cutoff % Scaled,MR_FX PnL To Cutoff,MR_FX Gross At Cutoff % Scaled,TF_EQ PnL To Cutoff,TF_EQ Gross At Cutoff % Scaled
aggressive_mrfx_dom_2p50_1p50_6p00,2018-12-04,2018-12-04 18:00:00,-0.04,0.75,-0.04090729545851479,-0.054543060611353056,381879.9751697821,361051.0725378347,250.28847562925475,187.71635672194105,TF_EQ,0.0,0.0,-1018.7394765973986,0.0,-15972.633018131528,187.71635672194105
aggressive_mrfx_dom_2p50_1p50_6p00,2019-08-05,2019-08-05 22:00:00,-0.04,0.75,-0.04061750670538139,-0.054156675607175186,462686.5471392182,437628.9818979956,154.92510843875078,116.19383132906309,MR_EQ,-19504.011669110172,116.19383132906309,-278.77944086436764,0.0,0.0,0.0
aggressive_mrfx_dom_2p50_1p50_6p00,2019-08-23,2019-08-23 20:00:00,-0.04,0.75,-0.04326600683709228,-0.05768800911612304,460806.84191473055,434223.8126175817,257.0082375088029,192.75617813160216,TF_EQ,0.0,0.0,-550.3654262846321,0.0,-19489.342676668763,192.75617813160216
aggressive_mrfx_dom_2p50_1p50_6p00,2020-03-27,2020-03-27 12:00:00,-0.04,0.75,-0.044019911263376316,-0.05869321501783509,584449.6539722636,550146.4247645702,176.58360410651525,132.43770307988643,TF_EQ,0.0,0.0,1857.120195759635,0.0,-20119.007578240955,132.43770307988643
aggressive_mrfx_dom_2p50_1p50_6p00,2020-04-01,2020-04-01 18:00:00,-0.04,0.75,-0.04333144806161379,-0.05777526408215172,551611.7469271461,519742.2325776132,180.7547915855995,135.56609368919962,TF_EQ,0.0,0.0,0.0,0.0,-28538.08908398213,135.56609368919962
aggressive_mrfx_dom_2p50_1p50_6p00,2020-04-15,2020-04-15 14:00:00,-0.04,0.75,-0.04183011266411188,-0.05577348355214917,633140.0523201752,597827.6260258891,305.7188419816886,229.28913148626646,TF_EQ,0.0,0.0,-5482.076391883507,100.80445338727058,-21861.938498151998,128.48467809899586
aggressive_mrfx_dom_2p50_1p50_6p00,2020-04-21,2020-04-21 21:00:00,-0.04,0.75,-0.04216603157992044,-0.05622137543989392,619447.2273452121,584621.0522114356,172.83813968602698,129.62860476452022,TF_EQ,0.0,0.0,-1040.8434751553796,0.0,-20815.17463682317,129.62860476452022
aggressive_mrfx_dom_2p50_1p50_6p00,2020-06-11,2020-06-11 16:00:00,-0.04,0.75,-0.04556939953985675,-0.06075919938647567,690612.3180289341,648651.2664990579,362.9170362924502,272.18777721933765,TF_EQ,0.0,0.0,-2624.2932528311576,94.18372356764111,-34342.69613303756,178.00405365169652
aggressive_mrfx_dom_2p50_1p50_6p00,2020-09-03,2020-09-03 17:00:00,-0.04,0.75,-0.05026926003563173,-0.06702568004750897,912870.3072384761,851684.5541006388,221.22078700154808,165.91559025116106,TF_EQ,0.0,0.0,-392.1331161330236,0.0,-44974.972113746015,165.91559025116106
aggressive_mrfx_dom_2p50_1p50_6p00,2021-01-27,2021-01-27 22:00:00,-0.04,0.75,-0.048303775310986424,-0.0644050337479819,1208787.7402461015,1130935.7250414046,170.09183436344776,127.56887577258581,TF_EQ,0.0,0.0,-441.6572355334574,0.0,-59298.15558768474,127.56887577258581
aggressive_mrfx_dom_2p50_1p50_6p00,2021-07-19,2021-07-19 19:00:00,-0.04,0.75,-0.040584504517848785,-0.05411267269046505,1489364.14669631,1408770.6721092188,138.36221826898174,103.7716637017363,TF_EQ,-13006.489094121644,38.47890595528868,23.615483235596912,0.0,-48544.92884451957,65.29275774644762
aggressive_mrfx_dom_2p50_1p50_6p00,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.04153681532102316,-0.055382420428030876,1574404.6209902503,1487210.2823467336,321.97558455964327,241.48168841973245,MR_FX,-13018.560770571945,38.84064185113539,-40596.415147322696,151.42276210414386,-13478.393192144082,51.218284464453234
aggressive_mrfx_dom_2p50_1p50_6p00,2022-01-24,2022-01-24 18:00:00,-0.04,0.75,-0.040884134296158114,-0.05451217906154415,1317893.8814882454,1246052.6142364447,156.1789997280994,117.13424979607456,MR_EQ,-43578.67538475945,117.13424979607456,0.0,0.0,0.0,0.0
aggressive_mrfx_dom_2p50_1p50_6p00,2022-02-04,2022-02-04 12:00:00,-0.04,0.75,-0.04112827755830531,-0.054837703411073746,1356596.8987984955,1282204.2404138013,613.0894767474357,459.8171075605768,TF_EQ,1932.9142100982426,0.0,-21856.017771827635,265.63035774919024,-24429.153874951793,194.18674981138656
aggressive_mrfx_dom_2p50_1p50_6p00,2022-06-09,2022-06-09 21:00:00,-0.04,0.75,-0.04172045905855787,-0.055627278744743824,1424687.165872609,1345435.6957725543,250.98803539030587,188.2410265427294,TF_EQ,0.0,0.0,2531.996736291956,0.0,-61317.26498007914,188.2410265427294
aggressive_mrfx_dom_2p50_1p50_6p00,2022-09-13,2022-09-13 20:00:00,-0.04,0.75,-0.04202299104990567,-0.05603065473320756,1573494.6471175135,1485330.7118203219,165.84614517723796,124.38460888292846,TF_EQ,0.0,0.0,10764.15520833814,0.0,-76386.19900641509,124.38460888292846
aggressive_mrfx_dom_2p50_1p50_6p00,2022-10-07,2022-10-07 18:00:00,-0.04,0.75,-0.041278230749447004,-0.05503764099926267,1447393.3326091208,1367732.2179842535,260.1883604553715,195.1412703415286,TF_EQ,0.0,0.0,2315.1380387847457,0.0,-69000.52308685929,195.1412703415286
aggressive_mrfx_dom_2p50_1p50_6p00,2022-11-02,2022-11-02 21:00:00,-0.04,0.75,-0.04102355389427448,-0.05469807185903264,1562883.8968683279,1477397.1611700992,238.23009305751967,178.67256979313976,TF_EQ,0.0,0.0,1621.5185640663549,0.0,-66478.79845150295,178.67256979313976
aggressive_mrfx_dom_2p50_1p50_6p00,2022-12-15,2022-12-15 15:00:00,-0.04,0.75,-0.044155065882761,-0.05887342117701466,1435421.290505118,1350913.1283027562,263.0455054636064,197.2841290977048,TF_EQ,0.0,0.0,-1586.4551755557623,0.0,-61812.13969008016,197.2841290977048
aggressive_mrfx_dom_2p50_1p50_6p00,2024-08-02,2024-08-02 16:00:00,-0.04,0.75,-0.04387759166839089,-0.05850345555785452,2137146.0344354855,2012115.606389244,358.2404648439602,268.68034863297015,MR_EQ,-39763.25480999143,77.92416925425735,-22571.143665387135,112.21374590269852,-37341.42138630379,78.54243347601428
aggressive_mrfx_dom_2p50_1p50_6p00,2025-04-03,2025-04-03 15:00:00,-0.04,0.75,-0.04255909226166937,-0.0567454563488925,2134944.9743883307,2013796.5475368903,284.47439845794486,213.35579884345864,MR_FX,0.0,0.0,-90861.32013858038,213.35579884345864,0.0,0.0
aggressive_mrfx_dom_2p50_1p50_6p00,2025-10-10,2025-10-10 21:00:00,-0.04,0.75,-0.049815104832735435,-0.06642013977698058,2812897.81672299,2626064.7505578855,255.65362601134973,191.7402195085123,TF_EQ,0.0,0.0,0.0,0.0,-133309.45555468585,191.7402195085123
max_speed_mrfx_dom_3p00_1p50_5p50,2012-05-04,2012-05-04 18:00:00,-0.04,0.75,-0.041178053899936645,-0.054904071866582194,54275.40089142669,51295.46038029624,365.8824677154242,274.41185078656815,TF_EQ,-268.87523509390104,38.346820189745074,102.55898987766867,0.0,-2068.639138131613,236.06503059682302
max_speed_mrfx_dom_3p00_1p50_5p50,2012-10-19,2012-10-19 20:00:00,-0.04,0.75,-0.04202701962013608,-0.05603602616018144,52693.9897536875,49741.227965365535,313.705496344852,235.279122258639,TF_EQ,0.0,0.0,0.0,0.0,-2214.571341241471,235.279122258639
max_speed_mrfx_dom_3p00_1p50_5p50,2012-11-07,2012-11-07 16:00:00,-0.04,0.75,-0.04813815403416902,-0.06418420537889202,47953.59560115562,44875.73217243471,312.7241145826369,234.54308593697766,TF_EQ,-12.602702474118928,0.0,47.64694647059446,0.0,-2343.440596093169,234.54308593697766
max_speed_mrfx_dom_3p00_1p50_5p50,2013-04-15,2013-04-15 21:00:00,-0.04,0.75,-0.04035336825819366,-0.05380449101092488,57962.95561110438,54844.28828696007,304.75194463982905,228.5639584798718,TF_EQ,0.0,0.0,-176.55527360796566,0.0,-2162.4452195002614,228.5639584798718
max_speed_mrfx_dom_3p00_1p50_5p50,2013-06-20,2013-06-20 16:00:00,-0.04,0.75,-0.04969183856735507,-0.06625578475647342,61686.080315302104,57599.02065546092,584.4859516853483,438.3644637640112,TF_EQ,-942.4957035213296,118.36995886367615,-163.00138473271363,79.54080313816111,-1842.7237547930129,240.45370176217392
max_speed_mrfx_dom_3p00_1p50_5p50,2015-03-25,2015-03-25 20:00:00,-0.04,0.75,-0.042847280126672216,-0.057129706835562954,135727.7939294787,127973.70485284989,314.251165578936,235.68837418420202,TF_EQ,0.0,0.0,63.5033632819318,0.0,-5878.106900170345,235.68837418420202
max_speed_mrfx_dom_3p00_1p50_5p50,2015-03-26,2015-03-26 10:00:00,-0.04,0.75,-0.04087432963335813,-0.05449910617781084,128701.11945232125,121687.02347808608,678.5393163505829,508.9044872629372,TF_EQ,-1530.9873020506793,117.40643872292435,-637.8738004271718,145.72575016817,-3028.843980332349,245.77229837184285
max_speed_mrfx_dom_3p00_1p50_5p50,2015-06-29,2015-06-29 21:00:00,-0.04,0.75,-0.04069015756260616,-0.054253543416808214,126741.77654605139,119865.58606948679,96.3131940622897,72.23489554671727,TF_EQ,-1213.34893171348,0.0,887.1768198441223,0.0,-4830.970745554067,72.23489554671727
max_speed_mrfx_dom_3p00_1p50_5p50,2016-01-04,2016-01-04 08:00:00,-0.04,0.75,-0.05099722850576435,-0.06799630467435247,156002.89484359222,145395.27447572636,492.82202462033683,369.6165184652526,TF_EQ,0.0,0.0,-1095.6857919362938,130.28810459958618,-6860.029483963104,239.32841386566645
max_speed_mrfx_dom_3p00_1p50_5p50,2016-06-24,2016-06-24 08:00:00,-0.04,0.75,-0.040663315498105895,-0.05421775399747453,173710.2545725815,164292.0747233266,467.77507038449045,350.83130278836785,TF_EQ,0.0,0.0,-1293.7945522009195,271.71753182970383,-5769.840334740276,79.11377095866395
max_speed_mrfx_dom_3p00_1p50_5p50,2017-05-17,2017-05-17 21:00:00,-0.04,0.75,-0.04296471660303913,-0.05728628880405218,257316.60437374384,242575.89106151153,301.71192317114327,226.28394237835744,TF_EQ,0.0,0.0,89.05935851077265,0.0,-11144.594342685003,226.28394237835744
max_speed_mrfx_dom_3p00_1p50_5p50,2018-02-05,2018-02-05 20:00:00,-0.04,0.75,-0.045258941950381076,-0.060345255933841435,379759.5625670323,356842.87457060104,204.23077739791196,153.17308304843397,TF_EQ,-6635.0546256218295,77.26499572371814,10.097072777243739,0.0,-10562.558444478855,75.90808732471586
max_speed_mrfx_dom_3p00_1p50_5p50,2018-02-08,2018-02-08 21:00:00,-0.04,0.75,-0.04285421050311952,-0.057138947337492696,362327.48293852934,341624.47197197843,152.827052182793,114.62028913709476,MR_EQ,-16427.92297890275,114.62028913709476,900.6647539896076,0.0,0.0,0.0
