Budget Case,Strategy,Target Budget,Target Budget Share %,Total PnL,PnL Contribution %,Avg Daily PnL,Daily Vol,Sharpe-like Daily,Positive Days %,Worst Day,Avg Losing Day,Corr To Portfolio Daily PnL,Variance Contribution Approx %,PnL In MaxDD Window,MaxDD Loss Contribution %,Avg Gross Exposure %,Max Gross Exposure %
anchor_grid_tf1p5_mreq1p125_mrfx7p375,TF_EQ,1.5,15.0,598737.3424874906,45.438665181438495,117.07808808906739,4007.4746157059285,0.029214929429676184,29.429018380915135,-48207.218809140846,-2877.4795545529237,0.8247003248840623,64.73798372664773,-74458.6729543602,48.746901135217726,80.77569711748606,160.03046805234348
anchor_grid_tf1p5_mreq1p25_mrfx7p25,MR_EQ,1.25,12.5,379869.1128526149,27.18092411126365,74.28023325236897,2239.62457204993,0.03316637715953447,9.913961673836527,-25825.520424697257,-2422.929740054526,0.4807496386443412,19.817831658359015,-13279.126510821428,8.273757504812956,16.996372505264514,130.63526216640244
anchor_grid_tf1p5_mreq1p25_mrfx7p25,MR_FX,7.25,72.5,395953.8401304336,28.33184093154851,77.42546737004959,2250.7063179196325,0.03440051985174828,43.56667970277669,-67129.50919155264,-1763.03415473099,0.41761295224566497,17.300343838689724,-54622.65360177557,34.033457682792495,66.0577103641817,749.3985527905705
anchor_grid_tf1p5_mreq1p25_mrfx7p25,TF_EQ,1.5,15.0,621734.8022192441,44.48723495718785,121.57504931936724,4192.117463729123,0.029000868981190097,29.429018380915135,-50875.32625044137,-2997.8868254515587,0.8149477146947144,62.88182450295127,-78161.20072971593,48.699499970550086,80.76955617856365,160.10929489147324
anchor_grid_tf1p5_mreq1p5_mrfx7,MR_EQ,1.5,15.0,489861.27101592196,31.20460232341945,95.7882813875483,2948.20529618348,0.032490370162331784,9.913961673836527,-34638.317848545616,-3165.2199174767243,0.5440760431844794,25.985342317939086,-46327.92014880298,25.39386749379998,20.428889717983107,157.7874455536039
anchor_grid_tf1p5_mreq1p5_mrfx7,MR_FX,7.0,70.0,409518.45929737645,26.08669315696671,80.07791538861487,2389.7903833594437,0.033508342801198104,43.56667970277669,-71845.77696584043,-1848.2792994189733,0.38982563522900066,15.091809735370118,-37590.31623186615,20.60449738248635,63.7758977382518,722.5451772351357
anchor_grid_tf1p5_mreq1p5_mrfx7,TF_EQ,1.5,15.0,670456.8788469947,42.70870451961384,131.1022445926857,4586.208030517567,0.02858619664007924,29.429018380915135,-56602.49688459793,-3253.320053895253,0.7930834045681052,58.92284794669077,-50266.709342533955,27.552848310343286,80.75746890043679,160.26818218674094
anchor_grid_tf1p5_mreq1p75_mrfx6p75,MR_EQ,1.75,17.5,613955.3029913206,34.88319309535084,120.05383320127505,3772.1570084780847,0.03182630864289289,9.913961673836527,-45107.274206024886,-4019.180038561918,0.6002730544856353,32.17654999392985,-59888.40738194605,27.929315180478543,23.87333835630322,187.99938800568782
anchor_grid_tf1p5_mreq1p75_mrfx6p75,MR_FX,6.75,67.5,423046.0975210634,24.0362753382236,82.7231320925036,2532.530798641053,0.032664215628450614,43.586233867813846,-76687.74815908482,-1936.5551200658656,0.3617829838015893,13.019782782472369,-39564.63889255721,18.451204798028524,61.49437085583862,695.7668057900693
anchor_grid_tf1p5_mreq1p75_mrfx6p75,TF_EQ,1.5,15.0,723030.4329069806,41.08053156642556,141.38256411947216,5015.425427379073,0.028189545665990474,29.429018380915135,-62885.28290851775,-3529.3640372162736,0.7689550905616277,54.80366722359775,-55432.37709293491,25.85121893721346,80.74564201530697,160.4287207369939
anchor_grid_tf1p5_mreq2_mrfx6p5,MR_EQ,2.0,20.0,753509.4560890916,38.255486035335956,147.34248261421425,4726.240046753378,0.031175412411696912,9.913961673836527,-57464.46940307156,-4998.033562394446,0.6496562022077373,38.18314244618576,-75758.52723374678,30.186280233818287,27.330113356512694,220.16903960604415
anchor_grid_tf1p5_mreq2_mrfx6p5,MR_FX,6.5,65.0,436442.28969389177,22.158065547409176,85.34264561867262,2678.154614678588,0.03186621308229241,43.586233867813846,-81629.43365700293,-2023.6088798568703,0.33409507667040383,11.126998377179582,-41539.930838500455,16.55174722860553,59.21312920924396,669.0631258948978
anchor_grid_tf1p5_mreq2_mrfx6p5,TF_EQ,1.5,15.0,779725.1141400286,39.58644841725487,152.46873565507013,5482.339398934515,0.02781088957839827,29.429018380915135,-69766.74429921596,-3827.415965383484,0.74350323685723,50.68985917663464,-61067.90713235451,24.332745438706098,80.73407674131006,160.59091835443832
anchor_grid_tf1p75_mreq0p875_mrfx7p375,MR_EQ,0.875,8.75,268363.12867016933,19.40135679311656,52.47616907903194,1551.6415042713147,0.03381977662660932,9.913961673836527,-17513.370790307148,-1678.23689063682,0.34788713780326974,9.452250297773837,-9039.461105231574,5.229560936261153,11.875384270515505,91.12368949909407
anchor_grid_tf1p75_mreq0p875_mrfx7p375,MR_FX,7.375,73.75,400738.16956648615,28.971432278744626,78.36100304389639,2263.085244824308,0.034625740777157445,43.54712553773954,-66422.49441816885,-1779.863614343998,0.4011563650005176,15.89717861167053,-56334.99336757061,32.59124379539339,67.19804266948037,762.8534652614533
anchor_grid_tf1p75_mreq0p875_mrfx7p375,TF_EQ,1.75,17.5,714117.0587670277,51.62721092813881,139.63962822976686,4851.618501185874,0.02878207101313406,29.429018380915135,-58834.560003246996,-3476.956555833699,0.8787008321317663,74.65057109055567,-91522.5443643562,52.948147818022406,93.80737696777018,187.35709646241048
anchor_grid_tf1p75_mreq1p125_mrfx7p125,MR_EQ,1.125,11.25,371154.87832340057,23.84090469808594,72.57623745080183,2190.0454348341004,0.03313914693112273,9.894407508799375,-25211.11895210808,-2351.1898488860043,0.4161246211993058,14.202464090369544,-12962.713660548703,6.793420019579225,15.292549627724036,117.9087885426141
anchor_grid_tf1p75_mreq1p125_mrfx7p125,MR_FX,7.125,71.25,415055.77024132456,26.660851414411262,81.16069030921481,2407.4165203269495,0.03371277451323315,43.54712553773954,-71263.12695554097,-1869.1453743912193,0.37976479997245105,14.247973758872787,-59637.217403708244,31.254309647784105,64.91611189388222,735.9624698960324
anchor_grid_tf1p75_mreq1p125_mrfx7p125,TF_EQ,1.75,17.5,770587.9839687067,49.49824388750281,150.68204614171034,5312.551075200608,0.028363406583534905,29.429018380915135,-65579.6997651431,-3777.190604546899,0.8642048510262126,71.54956215075764,-100904.77081310615,52.88155767870233,93.79306919195284,187.54089311944892
anchor_grid_tf1p75_mreq1p25_mrfx7,MR_EQ,1.25,12.5,427669.55435659026,25.91297692806173,83.62721047254405,2549.4021396054145,0.032802675252123034,9.913961673836527,-29625.72245225223,-2726.847421436913,0.4482196001393878,16.772449544243013,-15204.487100254162,7.585602811405774,17.00538274322475,131.43030916162746
anchor_grid_tf1p75_mreq1p25_mrfx7,MR_FX,7.0,70.0,422232.28398745775,25.583526631234,82.56399765104766,2481.2812227699665,0.033274744069065144,43.54712553773954,-73741.62196416315,-1914.4066778864938,0.3685771557862326,13.423683616310328,-61306.87955634175,30.586341706543145,63.77525380225491,722.545177235136
anchor_grid_tf1p75_mreq1p25_mrfx7,TF_EQ,1.75,17.5,800505.0429026122,48.503496440704275,156.53207721990853,5558.526799989604,0.02816071287453382,29.429018380915135,-69200.1050545472,-3936.458891349717,0.8555639426660807,69.80386683944668,-105909.1418670339,52.83865736495088,93.78602651349122,187.63351513640742
anchor_grid_tf1p75_mreq1p5_mrfx6p75,MR_EQ,1.5,15.0,551790.7241862182,29.790116997603256,107.89806886707434,3357.2968968783875,0.03213837565792823,9.913961673836527,-39723.78195971501,-3564.5155103971347,0.5081418169923281,22.15141730485149,-53325.263910342124,24.09865869176116,20.439780140392806,158.7755527803338
anchor_grid_tf1p75_mreq1p5_mrfx6p75,MR_FX,6.75,67.5,436565.92732135265,23.5693524410918,85.36682192439434,2631.9820318778748,0.03243442428194943,43.56667970277669,-78800.8398937856,-2007.8535113405671,0.3455870812761967,11.810471961538036,-42299.034618162885,19.115704705521395,61.49375188190487,695.7668057900693
anchor_grid_tf1p75_mreq1p5_mrfx6p75,TF_EQ,1.75,17.5,863904.3658983435,46.640530561304956,168.92928547093146,6083.448860792888,0.027768670261972748,29.429018380915135,-76969.71710095147,-4274.363117406798,0.8360224600087984,66.03811073361047,-68324.94906011014,30.87728980207119,93.77216429209116,187.82021217718784
anchor_grid_tf1p75_mreq1p75_mrfx6p5,MR_EQ,1.75,17.5,691912.1083384117,33.344485078139044,135.2976355765373,4296.983581871871,0.03148665406759556,9.913961673836527,-51714.76882662682,-4528.874604372072,0.5622914092298887,27.669769877862706,-68918.73365282075,26.58902609165321,23.886137241525528,188.01414004554087
anchor_grid_tf1p75_mreq1p75_mrfx6p5,MR_FX,6.5,65.0,450791.0850841241,21.724430644873006,88.14843275012204,2785.9705186463025,0.03164011684981979,43.586233867813846,-83973.95293138793,-2102.29319529957,0.32222123803049346,10.280425327704851,-44450.80144273241,17.1492344202023,59.21253521807226,669.0631258948979
