Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score
balanced_accel_2p00_1p50_6p50,full,"{""MR_EQ"": 1.5, ""MR_FX"": 6.5, ""TF_EQ"": 2.0}",2.0,1.5,6.5,10.0,0.75,-0.04,2220330.0362665807,0.3112525052767061,1.2724499412219352,1.3853529763318757,-22.467379115237296,-0.11393357952847562,32,186.3335644595619,940.6216091939955,0.8796,0.9120054570259208,0.9581151832460733,0.7686,83.0,36.0,15.0,0.016,0.2154,0.0,0.6696,185.0624512099922,160.0,112.0,233.0,320.0,0.8204478719750194
anchor_grid_tf1p75_mreq1p25_mrfx7,full,"{""MR_EQ"": 1.25, ""MR_FX"": 7.0, ""TF_EQ"": 1.75}",1.75,1.25,7.0,10.0,0.75,-0.04,1700406.8812466622,0.28649905952702426,1.3151021463830679,1.3618218308502565,-21.037925302471315,-0.10348727044540643,18,174.56666305897087,951.5318589358764,0.8978,0.9235910002227667,0.9645441389290883,0.7998,96.0,42.0,15.0,0.0534,0.1468,0.0,0.5092,208.90322580645162,183.0,126.0,260.0,367.2000000000003,0.8186499354838709
anchor_grid_tf2p25_mreq1p125_mrfx6p625,full,"{""MR_EQ"": 1.125, ""MR_FX"": 6.625, ""TF_EQ"": 2.25}",2.25,1.125,6.625,10.0,0.75,-0.04,2177687.889043568,0.3094373003506492,1.2251131728825997,1.304666793822908,-23.717726381610614,-0.12508139624043813,31,195.1440415557169,950.9973234280744,0.8868,0.9066305818673883,0.9467661691542288,0.7612,80.0,34.0,15.0,0.0038,0.235,0.0,0.8162,181.82264844981609,156.5,107.0,231.0,318.5,0.8170813788754597
anchor_grid_tf2p25_mreq1p25_mrfx6p5,full,"{""MR_EQ"": 1.25, ""MR_FX"": 6.5, ""TF_EQ"": 2.25}",2.25,1.25,6.5,10.0,0.75,-0.04,2303935.7725368314,0.31471940804945,1.2293918610907573,1.3253099711984742,-23.746852803412477,-0.1248563374390415,34,195.70945367770213,946.6559353334853,0.8848,0.902124773960217,0.9481332999248309,0.7568,79.0,33.0,15.0,0.0034,0.2398,0.0,0.8374,178.66384778012684,153.0,105.0,226.25,309.0,0.8119663805496828
anchor_grid_tf1p75_mreq1p125_mrfx7p125,full,"{""MR_EQ"": 1.125, ""MR_FX"": 7.125, ""TF_EQ"": 1.75}",1.75,1.125,7.125,10.0,0.75,-0.04,1606798.6325334278,0.2813057429197079,1.3134196256161759,1.3391069238284345,-21.006966502381296,-0.10370723283977168,19,174.0017307135591,955.856567567052,0.8972,0.9235399019170754,0.9642770938933141,0.799,97.0,43.0,15.0,0.052,0.149,0.0,0.466,211.94793491864831,186.0,128.0,264.0,372.0,0.8104701627033792
anchor_grid_tf1p75_mreq1p5_mrfx6p75,full,"{""MR_EQ"": 1.5, ""MR_FX"": 6.75, ""TF_EQ"": 1.75}",1.75,1.5,6.75,10.0,0.75,-0.04,1902261.0174059123,0.29684961437710866,1.3131737766014446,1.405148100625124,-21.125859562066506,-0.10304752728231482,21,175.7056963143889,942.8843446873877,0.8838,0.9121973297126047,0.9640287769784173,0.7772,91.0,40.0,15.0,0.0516,0.1712,0.0,0.6678,199.253474009264,174.0,122.0,250.0,343.0,0.7751883149768402
anchor_grid_tf1p125_mreq1p75_mrfx7p125,full,"{""MR_EQ"": 1.75, ""MR_FX"": 7.125, ""TF_EQ"": 1.125}",1.125,1.75,7.125,10.0,0.75,-0.04,1406365.021740869,0.269168453513412,1.3882418447296005,1.2961613109219838,-20.76658601404693,-0.0748916018435193,17,149.77237757950445,938.1884195282005,0.8946,0.9295774647887324,0.9701779701779701,0.8068,113.0,50.0,15.0,0.0688,0.1244,0.0,0.558,231.89836390679227,205.5,146.0,288.0,387.0,0.7662740902330191
anchor_grid_tf2p25_mreq1p75_mrfx6,full,"{""MR_EQ"": 1.75, ""MR_FX"": 6.0, ""TF_EQ"": 2.25}",2.25,1.75,6.0,10.0,0.75,-0.04,2876210.2154089105,0.3357214746699151,1.2342216510479072,1.3933193587984063,-24.095084343006622,-0.12395671945927317,42,198.0023028681155,929.2968530145828,0.869,0.8941311852704258,0.9449163449163449,0.7342,74.0,33.0,15.0,0.0146,0.2512,0.0,0.8842,166.4265867611005,144.0,101.0,212.0,286.0,0.7630915330972485
anchor_grid_tf2_mreq1p25_mrfx6p75,full,"{""MR_EQ"": 1.25, ""MR_FX"": 6.75, ""TF_EQ"": 2.0}",2.0,1.25,6.75,10.0,0.75,-0.04,1985259.0119290345,0.3008120081413872,1.2705659074499907,1.3428858432553101,-22.400415467347855,-0.1143786567971288,27,185.19404025133798,949.2861331162916,0.8776,0.910665451230629,0.9542042042042042,0.7626,86.0,38.0,15.0,0.053,0.1844,0.0,0.5672,190.97456071334906,166.0,114.0,241.0,333.8000000000002,0.7516915982166271
anchor_grid_tf2_mreq0p875_mrfx7p125,full,"{""MR_EQ"": 0.875, ""MR_FX"": 7.125, ""TF_EQ"": 2.0}",2.0,0.875,7.125,10.0,0.75,-0.04,1673990.0908772466,0.28506091082722085,1.2558939996490184,1.277316575720678,-22.31716993623025,-0.11504673179749107,28,183.50756406001324,962.2877278770185,0.8778,0.9138755980861244,0.9586138120169534,0.769,89.0,39.0,15.0,0.0524,0.1786,0.0,0.5416,199.6262678803641,173.0,119.0,252.0,350.1999999999998,0.7501183302990897
